"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms3",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memtier3_cpt8_rep3_r.csv",,,,"Date:","20 Nov 2017 14:40:30 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
5.612,7.446,82.456,0.980,3.507,0.0,35944.176,12516717.012,0.133,1227.837,0.032,0.300,0.240,0.300,112553984.0,15089664.0,230690816.0,3251253248.0,0.0,0.0,0.0,0.0,4.339,20-11 14:40:30,2305.183,2884.114,3.0,18.0,0.0,18.0,0.0
3.483,3.980,90.547,0.0,1.990,0.0,0.0,0.0,0.0,917.0,0.0,0.270,0.240,0.300,112680960.0,15089664.0,230703104.0,3251113984.0,6862580.0,513060.0,1.0,0.0,0.0,20-11 14:40:31,2036.0,2813.0,3.0,18.0,0.0,18.0,0.0
3.500,4.500,90.0,0.0,2.0,0.0,0.0,12288.0,0.0,912.0,0.0,0.270,0.240,0.300,112680960.0,15089664.0,230703104.0,3251113984.0,6999836.0,523108.0,1.0,0.0,0.0,20-11 14:40:32,2045.0,2909.0,3.0,18.0,0.0,18.0,0.0
3.500,4.500,90.0,0.0,2.0,0.0,0.0,0.0,0.0,941.0,0.0,0.270,0.240,0.300,112615424.0,15089664.0,230703104.0,3251179520.0,7230140.0,540276.0,1.0,0.0,0.0,20-11 14:40:33,2095.0,2985.0,3.0,18.0,0.0,18.0,0.0
3.0,4.0,90.0,1.500,1.500,0.0,0.0,49152.0,0.0,971.0,0.0,0.270,0.240,0.300,112799744.0,15097856.0,230703104.0,3250987008.0,7360642.0,550074.0,1.0,0.0,0.0,20-11 14:40:34,2136.0,3088.0,3.0,18.0,0.0,18.0,0.0
3.483,4.478,89.552,0.0,2.488,0.0,0.0,0.0,0.0,962.0,0.0,0.270,0.240,0.300,112701440.0,15097856.0,230703104.0,3251085312.0,7107638.0,531006.0,1.0,0.0,0.0,20-11 14:40:35,2098.0,2936.0,3.0,18.0,0.0,18.0,0.0
3.015,4.020,90.955,0.0,2.010,0.0,0.0,0.0,0.0,882.0,0.0,0.250,0.230,0.290,112799744.0,15097856.0,230703104.0,3250987008.0,7127620.0,532330.0,1.0,0.0,0.0,20-11 14:40:36,1998.0,2864.0,3.0,18.0,0.0,18.0,0.0
3.518,4.020,90.955,0.0,1.508,0.0,0.0,0.0,0.0,965.0,0.0,0.250,0.230,0.290,112832512.0,15097856.0,230703104.0,3250954240.0,7266097.0,542891.0,1.0,0.0,0.0,20-11 14:40:37,2025.0,2878.0,3.0,18.0,0.0,18.0,0.0
3.483,4.478,90.050,0.0,1.990,0.0,0.0,0.0,0.0,993.0,0.0,0.250,0.230,0.290,112766976.0,15097856.0,230703104.0,3251019776.0,7399752.0,552849.0,1.0,0.0,0.0,20-11 14:40:38,2158.0,3025.0,3.0,18.0,0.0,18.0,0.0
